adr$ena|lina	adrena
bat$er|ista	batera
berm|$uda	bermas
bob|$eira	bobis
bur$okra|ta	burokra
serv|$eja	serva
del$ega|do	delega
del$ega|da	delega
del$ega|sia	delega
flagr$a|nte	flagra
for$ast|eira	forasta
fort|$una	furta
neur|$ose	neura
pij$a|ma	pija
#port$ug|ês	portuga
#prol$etá|rio	proleta
refr$i|jerante	refri
#sap$at|ão	sapata
saud$ad|es	saudas
#sekr$etá|ria	sekreta
trav|$esti	trava
vag$ab|unda	vagaba
vest$ib|ular	vestiba
bel$e|za	belê
#burg|$ês	burga
kruz|$eiro	kruza
#dem$ô|nio	demo
fis$u|ra	fisu
#miL|$ão	miLa
muL|$er	muLa
#paL$a|so	paLa
pis|$ina	pisa
playb|$oy	playba
#preg$i|sa	pregi
sarj|$ento	sarja
piR$a|Lo	piRas
trank$i|lo	trankis
fals$i|fikado	falsi
bij$u|teria	biju
#bis$a|vó	bisa
kaf$a|jeste	kafa
karn$a|val	karna
#kok$a|ína	koka
#konf|$usão	konfa
#disp$o|sisão	dispô
fak$u|ldade	faku
lot|$eria	loto
met$al|eiro	metal
mord$o|mia	mordô
#prej$u|ízo	preju
prof$i|sional	profi
#trans$a|são	transa
trogl$o|dita	troglô
#sakr$ist|ão	sakrista
#sal$afrá|rio	salafra
an$alfa|beto	analfa
bot$ek|im	boteko
kas$ete|te	kasete
#kaf$et|ão	kafeta
#kap$it|ão	kapita
karp$in|teiro	karpina
kat$eg|oria	katega
sel$ula|r	selula
ses$aria|na	sesária
#kom$is|ão	komisa
#kom$isá|rio	komisa
kom$un|ista	komuna
#kons$uma|são	konsuma
kort$es|ia	kortesa
madr$uga|da	madruga
man$ek|im	maneka
mot$o|sikleta	motoka
nat$ur|eza	natura
per$if|eria	perifa
prol$eta|riado	proleta
rap$az|iada	rapaze
#reas|$ão	reasa
resp$onsa|bilidade	responsa
tel$ef|one	telefa
traf$ika|nte	trafika
vent$ila|dor	ventila
#viol|$ão	viola
sup$er|merkado	super
#depr$e|são	deprê
#depr|$imido	deprê
#preg$i|soso	pregi
#tost|$ão	tusta
#sand$uíS|e	sanduSa
#sat$isfa|são	satisfa
kaS|$oeira	kaSu
nam$o|rada	namo
nam$o|rado	namo
rek|$alkada	rek
pir$ig|ete	piriga
pars|$eiro	parsa
pars|$eira	parsa
kebr$a|da	kebra
mak$a|Rão	maka
pir$a|são	pira
extr$a|ordinário	extra
hom$o|sexual	homo
infr$a|estrutura	infra
porn$o|gráfiko	pornô
int$er|nasional	inter
fot$o|grafia	foto
het$ero|sexual	hétero
bibl$io|tekonomia	bíblio
eletr$o|kardiograma	eletro
esp$eleo|lojia	espéleo
hidr$o|jinástika	hidro
lip$o|aspirasão	lipo
max$i|mizasão	maxi
mikr$o|komputador	mikro
pol$io|mielite	pólio
rad$io|terapia	rádio
retr$o|projetor	retro
psik$o|lojia	psiko
od$onto|lojia	odonto
fon$o|audiologa	fono
