adr$en|alina	adrena
bat$er|ista	batera
berm|$uda	bermas
bob|$eira	bobis
bur$ocr|ata	burocra
cerv|$eja	cerva
del$eg|ado	delega
del$eg|ada	delega
del$eg|acia	delega
flagr|$ante	flagra
for$ast|eira	forasta
fort|$una	furta
neur|$ose	neura
pij|$ama	pija
#port$ug|ês	portuga
#prol$et|ário	proleta
refr$i|gerante	refri
#sap$at|ão	sapata
saud$ad|es	saudas
#secr$et|ária	secreta
trav|$esti	trava
vag$ab|unda	vagaba
vest$ib|ular	vestiba
bel$e|za	belê
#burg|$ês	burga
cruz|$eiro	cruza
#dem$ô|nio	demo
fis$u|ra	fisu
#miL|$ão	miLa
muL|$er	muLa
#paL|$aso	paLa
pis|$cina	pisa
playb|$oy	playba
#preg$i|sa	pregi
sarg|$ento	sarja
piR|$aLo	piRas
trank$i|lo	trankis
fals$i|ficado	falsi
bij$u|teria	biju
#bis|$avó	bisa
caf|$ajeste	cafa
carn|$aval	carna
#coc|$aína	coca
#conf|$usão	confa
#disp$o|sisão	dispô
fac$u|ldade	facu
lot|$eria	loto
met$al|eiro	metal
mord$o|mia	mordô
#prej$u|ízo	preju
prof$i|sional	profi
#trans|$asão	transa
trogl$o|dita	troglô
#sacr$ist|ão	sacrista
#sal$afr|ário	salafra
an$alf|abeto	analfa
bot$ek|im	boteco
cac$ete|te	cacete
#caf$et|ão	cafeta
#cap$it|ão	capita
carp$in|teiro	carpina
cat$eg|oria	catega
cel$ul|ar	celula
ces$aria|na	cesária
#com$is|ão	comisa
#com$is|ário	comisa
com$un|ista	comuna
#cons$um|asão	consuma
cort$es|ia	cortesa
madr$ug|ada	madruga
man$ek|im	maneca
mot$oc|icleta	motoca
nat$ur|eza	natura
per$if|eria	perifa
prol$et|ariado	proleta
rap$az|iada	rapaze
#reas|$ão	reasa
resp$ons|abilidade	responsa
tel$ef|one	telefa
traf$ic|ante	trafica
vent$il|ador	ventila
#viol|$ão	viola
sup$er|mercado	super
#depr$e|são	deprê
#depr|$imido	deprê
#preg$i|soso	pregi
#tost|$ão	tusta
#sand$uíS|e	sanduSa
#sat$isf|asão	satisfa
caS|$oeira	caSu
nam$o|rada	namo
nam$o|rado	namo
rec|$alcada	rec
pir$ig|ete	piriga
parc|$eiro	parsa
parc|$eira	parsa
kebr|$ada	kebra
mac|$aRão	maca
pir|$asão	pira
extr$a|ordinário	extra
fot$o|grafia	foto
het$ero|sexual	hétero
hom$o|sexual	homo
infr$a|estrutura	infra
int$er|nacional	inter
max$i|mizasão	maxi
porn$o|gráfico	pornô
