adr$en|alina	adrena
bat$er|ista	batera
berm|$uda	bermas
bob|$eira	bobis
bur$okr|ata	burokra
serv|$eja	serva
del$eg|ado	delega
del$eg|ada	delega
del$eg|asia	delega
flagr|$ante	flagra
for$ast|eira	forasta
fort|$una	furta
neur|$ose	neura
pij|$ama	pija
#port$ug|ês	portuga
#prol$et|ário	proleta
refr$i|jerante	refri
#sap$at|ão	sapata
saud$ad|es	saudas
#sekr$et|ária	sekreta
trav|$esti	trava
vag$ab|unda	vagaba
vest$ib|ular	vestiba
bel$e|za	belê
#burg|$ês	burga
kruz|$eiro	kruza
#dem$ô|nio	demo
fis$u|ra	fisu
#miL|$ão	miLa
muL|$er	muLa
#paL|$aso	paLa
pis|$ina	pisa
playb|$oy	playba
#preg$i|sa	pregi
sarj|$ento	sarja
piR|$aLo	piRas
trank$i|lo	trankis
fals$i|fikado	falsi
bij$u|teria	biju
#bis|$avó	bisa
kaf|$ajeste	kafa
karn|$aval	karna
#kok|$aína	koka
#konf|$usão	konfa
#disp$o|sisão	dispô
fak$u|ldade	faku
lot|$eria	loto
met$al|eiro	metal
mord$o|mia	mordô
#prej$u|ízo	preju
prof$i|sional	profi
#trans|$asão	transa
trogl$o|dita	troglô
#sakr$ist|ão	sakrista
#sal$afr|ário	salafra
an$alf|abeto	analfa
bot$ek|im	boteko
kas$ete|te	kasete
#kaf$et|ão	kafeta
#kap$it|ão	kapita
karp$in|teiro	karpina
kat$eg|oria	katega
sel$ul|ar	selula
ses$aria|na	sesária
#kom$is|ão	komisa
#kom$is|ário	komisa
kom$un|ista	komuna
#kons$um|asão	konsuma
kort$es|ia	kortesa
madr$ug|ada	madruga
man$ek|im	maneka
mot$o|sikleta	motoka
nat$ur|eza	natura
per$if|eria	perifa
prol$et|ariado	proleta
rap$az|iada	rapaze
#reas|$ão	reasa
resp$ons|abilidade	responsa
tel$ef|one	telefa
traf$ik|ante	trafika
vent$il|ador	ventila
#viol|$ão	viola
sup$er|merkado	super
#depr$e|são	deprê
#depr|$imido	deprê
#preg$i|soso	pregi
#tost|$ão	tusta
#sand$uíS|e	sanduSa
#sat$isf|asão	satisfa
kaS|$oeira	kaSu
nam$o|rada	namo
nam$o|rado	namo
rek|$alkada	rek
pir$ig|ete	piriga
pars|$eiro	parsa
pars|$eira	parsa
kebr|$ada	kebra
mak|$aRão	maka
pir|$asão	pira
extr$a|ordinário	extra
hom$o|sexual	homo
infr$a|estrutura	infra
porn$o|gráfiko	pornô
int$er|nasional	inter
fot$o|grafia	foto
max$i|mizasão	maxi
het$ero|sexual	hétero
