adren$a|lina	adrena
bat$er|ista	batera
berm|ud$a	bermas
bob|eir$a	bobis
bur$okra|ta	burokra
serv|ej$a	serva
del$ega|do	delega
del$ega|da	delega
del$ega|sia	delega
flagra|nt$e	flagra
for$ast|eira	forasta
fort|un$a	furta
neur|os$e	neura
pija|m$a	pija
#portug$|ês	portuga
#prol$etá|rio	proleta
refri|j$erante	refri
#sapat$|ão	sapata
saudad$|es	saudas
#sekr$etá|ria	sekreta
trav|est$i	trava
vag$ab|unda	vagaba
vest$ib|ular	vestiba
bele|z$a	belê
#burg|$ês	burga
kruz|eir$o	kruza
#demô|n$io	demo
fisu|r$a	fisu
#miL|$ão	miLa
muL|$er	muLa
#paLa|s$o	paLa
pis|in$a	pisa
playb|$oy	playba
#pregi|s$a	pregi
sarj|ent$o	sarja
piRa|L$o	piRas
tranki|l$o	trankis
falsi|f$ikado	falsi
bij$u|teria	biju
#bisa|v$ó	bisa
kaf$a|jeste	kafa
karna|v$al	karna
#koka|ín$a	koka
#konf|us$ão	konfa
#disp$o|sisão	dispô
fak$u|ldade	faku
lot|er$ia	loto
met$al|eiro	metal
mordo|m$ia	mordô
#preju|íz$o	preju
prof$i|sional	profi
#transa|s$ão	transa
trogl$o|dita	troglô
#sakrist|$ão	sakrista
#sal$afrá|rio	salafra
analf$a|beto	analfa
botek|$im	boteko
kas$ete|te	kasete
#kafet|$ão	kafeta
#kapit|$ão	kapita
karp$in|teiro	karpina
kat$eg|oria	katega
selul$a|r	selula
ses$aria|na	sesária
#komis|$ão	komisa
#kom$isá|rio	komisa
kom$un|ista	komuna
#kons$uma|são	konsuma
kortes|$ia	kortesa
madr$uga|da	madruga
manek|$im	maneka
moto|s$ikleta	motoka
nat$ur|eza	natura
per$if|eria	perifa
prolet$a|riado	proleta
rap$az|iada	rapaze
#reas|$ão	reasa
respons$a|bilidade	responsa
tel$ef|one	telefa
traf$ika|nte	trafika
vent$ila|dor	ventila
#viol|$ão	viola
super|m$erkado	super
#depre|s$ão	deprê
#depr|$imido	deprê
#preg$i|soso	pregi
#tost|$ão	tusta
#sanduíS|$e	sanduSa
#sat$isfa|são	satisfa
kaS|oeir$a	kaSu
nam$o|rada	namo
nam$o|rado	namo
rek|$alkada	rek
pir$ig|ete	piriga
pars|eir$o	parsa
pars|eir$a	parsa
kebra|d$a	kebra
maka|R$ão	maka
pira|s$ão	pira
extr$a|ordinário	extra
inter|n$asional	inter
porno|gr$áfiko	pornô
hom$o|sexual	homo
fot$o|grafia	foto
heter$o|sexual	hétero
maxi|m$izasão	maxi
bibl$io|tekonomia	bíblio
eletr$o|kardiograma	eletro
espel$eo|lojia	espéleo
hidr$o|jinástika	hidro
infr$a|estrutura	infra
lip$o|aspirasão	lipo
mikr$o|komputador	mikro
pol$io|mielite	pólio
radio|t$erapia	rádio
retro|pr$ojetor	retro
psik$o|lojia	psiko
odont$o|lojia	odonto
fon$o|audiologa	fono
