adren$|alina	adrena
bat$er|ista	batera
berm|ud$a	bermas
bob|eir$a	bobis
bur$ocr|ata	burocra
cerv|ej$a	cerva
del$eg|ado	delega
del$eg|ada	delega
del$eg|acia	delega
flagr|ant$e	flagra
for$ast|eira	forasta
fort|un$a	furta
neur|os$e	neura
pij|am$a	pija
#portug$|ês	portuga
#prol$et|ário	proleta
refri|g$erante	refri
#sapat$|ão	sapata
saudad$|es	saudas
#secr$et|ária	secreta
trav|est$i	trava
vag$ab|unda	vagaba
vest$ib|ular	vestiba
bele|z$a	belê
#burg|$ês	burga
cruz|eir$o	cruza
#demô|n$io	demo
fisu|r$a	fisu
#miL|$ão	miLa
muL|$er	muLa
#paL|as$o	paLa
pis|cin$a	pisa
playb|$oy	playba
#pregi|s$a	pregi
sarg|ent$o	sarja
piR|aL$o	piRas
tranki|l$o	trankis
falsi|f$icado	falsi
bij$u|teria	biju
#bis|av$ó	bisa
caf|$ajeste	cafa
carn|av$al	carna
#coc|aín$a	coca
#conf|us$ão	confa
#disp$o|sisão	dispô
fac$u|ldade	facu
lot|er$ia	loto
met$al|eiro	metal
mordo|m$ia	mordô
#preju|íz$o	preju
prof$i|sional	profi
#trans|as$ão	transa
trogl$o|dita	troglô
#sacrist|$ão	sacrista
#sal$afr|ário	salafra
analf|$abeto	analfa
botek|$im	boteco
cac$ete|te	cacete
#cafet|$ão	cafeta
#capit|$ão	capita
carp$in|teiro	carpina
cat$eg|oria	catega
celul|$ar	celula
ces$aria|na	cesária
#comis|$ão	comisa
#com$is|ário	comisa
com$un|ista	comuna
#cons$um|asão	consuma
cortes|$ia	cortesa
madr$ug|ada	madruga
manek|$im	maneca
motoc|$icleta	motoca
nat$ur|eza	natura
per$if|eria	perifa
prolet|$ariado	proleta
rap$az|iada	rapaze
#reas|$ão	reasa
respons|$abilidade	responsa
tel$ef|one	telefa
traf$ic|ante	trafica
vent$il|ador	ventila
#viol|$ão	viola
super|m$ercado	super
#depre|s$ão	deprê
#depr|$imido	deprê
#preg$i|soso	pregi
#tost|$ão	tusta
#sanduíS|$e	sanduSa
#sat$isf|asão	satisfa
caS|oeir$a	caSu
nam$o|rada	namo
nam$o|rado	namo
rec|$alcada	rec
pir$ig|ete	piriga
parc|eir$o	parsa
parc|eir$a	parsa
kebr|ad$a	kebra
mac|aR$ão	maca
pir|as$ão	pira
extr$a|ordinário	extra
fot$o|grafia	foto
heter$o|sexual	hétero
hom$o|sexual	homo
infr$a|estrutura	infra
inter|n$acional	inter
maxi|m$izasão	maxi
porno|gr$áfico	pornô
