adren$|alina	adrena
bat$er|ista	batera
berm|ud$a	bermas
bob|eir$a	bobis
bur$okr|ata	burokra
serv|ej$a	serva
del$eg|ado	delega
del$eg|ada	delega
del$eg|asia	delega
flagr|ant$e	flagra
for$ast|eira	forasta
fort|un$a	furta
neur|os$e	neura
pij|am$a	pija
#portug$|ês	portuga
#prol$et|ário	proleta
refri|j$erante	refri
#sapat$|ão	sapata
saudad$|es	saudas
#sekr$et|ária	sekreta
trav|est$i	trava
vag$ab|unda	vagaba
vest$ib|ular	vestiba
bele|z$a	belê
#burg|$ês	burga
kruz|eir$o	kruza
#demô|n$io	demo
fisu|r$a	fisu
#miL|$ão	miLa
muL|$er	muLa
#paL|as$o	paLa
pis|in$a	pisa
playb|$oy	playba
#pregi|s$a	pregi
sarj|ent$o	sarja
piR|aL$o	piRas
tranki|l$o	trankis
falsi|f$ikado	falsi
bij$u|teria	biju
#bis|av$ó	bisa
kaf|$ajeste	kafa
karn|av$al	karna
#kok|aín$a	koka
#konf|us$ão	konfa
#disp$o|sisão	dispô
fak$u|ldade	faku
lot|er$ia	loto
met$al|eiro	metal
mordo|m$ia	mordô
#preju|íz$o	preju
prof$i|sional	profi
#trans|as$ão	transa
trogl$o|dita	troglô
#sakrist|$ão	sakrista
#sal$afr|ário	salafra
analf|$abeto	analfa
botek|$im	boteko
kas$ete|te	kasete
#kafet|$ão	kafeta
#kapit|$ão	kapita
karp$in|teiro	karpina
kat$eg|oria	katega
selul|$ar	selula
ses$aria|na	sesária
#komis|$ão	komisa
#kom$is|ário	komisa
kom$un|ista	komuna
#kons$um|asão	konsuma
kortes|$ia	kortesa
madr$ug|ada	madruga
manek|$im	maneka
moto|s$ikleta	motoka
nat$ur|eza	natura
per$if|eria	perifa
prolet|$ariado	proleta
rap$az|iada	rapaze
#reas|$ão	reasa
respons|$abilidade	responsa
tel$ef|one	telefa
traf$ik|ante	trafika
vent$il|ador	ventila
#viol|$ão	viola
super|m$erkado	super
#depre|s$ão	deprê
#depr|$imido	deprê
#preg$i|soso	pregi
#tost|$ão	tusta
#sanduíS|$e	sanduSa
#sat$isf|asão	satisfa
kaS|oeir$a	kaSu
nam$o|rada	namo
nam$o|rado	namo
rek|$alkada	rek
pir$ig|ete	piriga
pars|eir$o	parsa
pars|eir$a	parsa
kebr|ad$a	kebra
mak|aR$ão	maka
pir|as$ão	pira
extr$a|ordinário	extra
inter|n$asional	inter
porno|gr$áfiko	pornô
hom$o|sexual	homo
fot$o|grafia	foto
heter$o|sexual	hétero
maxi|m$izasão	maxi
