word,trucpoint,RC,LC,RCLC,BinaryFootRL,BinaryFootLR
adren|alina,5,-2,0,0,0,-2
bater|ista,5,-2,-1,0,-2,-2
berm|uda,4,0,0,0,2,0
bob|eira,3,0,0,0,3,0
burokr|ata,6,-2,-1,-1,-3,-3
serv|eja,4,1,2,1,2,0
deleg|ado,5,-2,0,-1,-2,-2
deleg|ada,5,-2,2,-1,-2,-2
deleg|asia,5,-2,0,1,-2,-2
flagr|ante,5,-1,-3,-1,3,0
forast|eira,6,-1,2,-1,-3,-3
fort|una,4,1,1,1,2,0
neur|ose,4,-1,-1,1,2,0
pij|ama,3,0,0,0,2,0
portug|ês,6,-1,-1,0,0,-2
prolet|ário,6,-2,3,-1,-2,-2
refri|jerante,5,5,1,2,1,-1
sapat|ão,5,1,-2,-1,0,-2
saudad|es,6,-3,-3,-2,0,-2
sekret|ária,6,1,-2,0,-2,-2
trav|esti,4,0,-1,1,3,0
vagab|unda,5,-2,-2,0,-2,-2
vestib|ular,6,0,2,0,-2,-2
bele|za,4,0,1,0,1,-1
burg|ês,4,1,0,0,0,0
kruz|eiro,4,2,0,0,3,0
demô|nio,4,0,-2,0,1,-1
fisu|ra,4,0,-2,-1,1,-1
miL|ão,3,1,0,0,0,0
muL|er,3,0,0,0,0,0
paL|aso,3,0,0,0,2,0
pis|ina,3,1,2,0,2,0
playb|oy,5,-3,1,-1,0,0
pregi|sa,5,0,-1,0,1,-1
sarj|ento,4,0,0,0,3,0
piR|aLo,3,0,2,0,2,0
tranki|lo,6,-1,-2,0,1,-1
falsi|fikado,5,-1,-2,0,1,-1
biju|teria,4,-1,0,0,-1,-1
bis|avó,3,1,2,1,2,0
kaf|ajeste,3,0,2,2,0,0
karn|aval,4,0,2,1,2,0
kok|aína,3,2,2,1,3,0
konf|usão,4,3,3,1,2,0
dispo|sisão,5,-3,-2,0,-1,-1
faku|ldade,4,0,4,0,-1,-1
lot|eria,3,0,-1,0,2,0
metal|eiro,5,1,-3,0,-2,-2
mordo|mia,5,0,-1,0,1,-1
preju|ízo,5,-1,1,1,2,-1
profi|sional,5,-1,-1,0,-1,-1
trans|asão,5,3,0,0,2,0
troglo|dita,6,-2,0,0,-1,-1
sakrist|ão,7,-1,0,-2,0,-3
salafr|ário,6,-1,-1,-1,-3,-3
analf|abeto,5,0,2,1,0,-3
botek|im,5,-1,-2,-1,0,-2
kasete|te,6,-2,-1,-1,-3,-3
kafet|ão,5,-2,-2,-1,0,-2
kapit|ão,5,1,-2,0,0,-2
karpin|teiro,6,-2,4,0,-2,-2
kateg|oria,5,0,0,0,-2,-2
selul|ar,5,-1,-2,-1,0,-2
sesaria|na,7,-4,-4,-3,-4,-4
komis|ão,5,1,1,-1,0,-2
komis|ário,5,1,-1,0,-2,-2
komun|ista,5,-1,-1,0,-2,-2
konsum|asão,6,-1,-2,0,-2,-2
kortes|ia,6,1,-3,-1,0,-2
madrug|ada,6,-3,2,-1,-2,-2
manek|im,5,0,-2,0,0,-2
moto|sikleta,4,-1,0,2,1,-1
natur|eza,5,-1,2,0,-2,-2
perif|eria,5,0,0,0,-2,-2
prolet|ariado,6,-2,-2,0,0,-2
rapaz|iada,5,2,0,0,-2,-2
reas|ão,4,1,-2,-1,0,0
respons|abilidade,7,6,0,1,0,-3
telef|one,5,-2,0,0,-2,-2
trafik|ante,6,-2,-3,-2,-2,-2
ventil|ador,6,-1,3,-1,-2,-2
viol|ão,4,1,0,0,0,0
super|merkado,5,1,3,2,1,-2
depre|são,5,2,0,0,1,-1
depr|imido,4,-1,2,2,0,0
pregi|soso,5,0,3,1,-1,-1
tost|ão,4,1,0,-1,0,0
sanduíS|e,7,-1,-1,-1,0,-3
satisf|asão,6,3,0,0,-3,-3
kaS|oeira,3,0,0,1,4,0
namo|rada,4,-1,3,0,-1,-1
namo|rado,4,-1,-1,0,-1,-1
rek|alkada,3,4,2,2,0,0
pirig|ete,5,0,0,0,-2,-2
pars|eiro,4,0,3,0,3,0
pars|eira,4,0,-1,0,3,0
kebr|ada,4,-1,2,-1,2,0
mak|aRão,3,3,2,2,2,0
pir|asão,3,2,-1,0,2,0
extra|ordinário,5,1,8,4,-1,-1
inter|nasional,5,1,0,2,1,-2
porno|gráfiko,5,-1,6,0,2,-1
homo|sexual,4,1,3,1,-1,0
foto|grafia,4,-1,4,1,-1,-1
hetero|sexual,6,-3,3,1,-1,-3
maxi|mizasão,4,-1,1,1,1,-1
biblio|tekonomia,6,-3,7,3,-2,-2
eletro|kardiograma,6,2,10,2,-1,-1
espeleo|lojia,7,-2,-2,-1,-2,-4
hidro|jinástika,5,2,8,1,-1,-1
infra|estrutura,5,1,5,1,-1,-2
lipo|aspirasão,4,1,4,1,-1,-1
mikro|komputador,5,-2,0,2,-1,-1
polio|mielite,5,0,-1,0,-2,-2
radio|terapia,5,-2,5,1,1,-2
retro|projetor,5,1,4,3,2,-1
psiko|lojia,5,-3,3,0,-1,-1
odonto|lojia,6,-4,3,-2,-1,-4
fono|audiologa,4,5,5,4,-1,-1
,sum ->,-22,77,22,-9,-152
,abs. values ->,160,219,90,169,152
,RMS ->,1.79167073806,2.57492759138,1.1595420713,1.7368957144,1.66021158923

,correct proportion,0.235294117647,0.252100840336,0.46218487395,0.218487394958,0.302521008403

,mean,-0.18487394958,0.647058823529,0.18487394958,-0.0756302521008,-1.27731092437

,std dev.,1.78210708331,2.4923015427,1.14470932463,1.73524833602,1.06055613878
