word,RC,LC,RCLC,BinRL,BinLR,Gries,RandomSampling
adrenalina,-2,0,0,0,-2,-1,1.0
analfabeto,0,2,1,0,-3,0,1.0
baterista,2,-1,-1,-2,-2,2,0.0
beleza,0,1,0,1,-1,-1,-1.0
bermuda,0,-1,0,2,0,0,0.0
bijuteria,-1,0,0,-1,-1,0,1.0
bisavó,1,2,1,2,0,3,0.0
bobeira,0,0,0,3,0,1,1.0
botequim,-1,0,-2,0,-3,-1,-1.0
burgês,1,0,0,0,0,1,-1.0
burocrata,-2,-1,-1,-3,-3,0,-1.0
cacetete,-2,-1,-1,-3,-3,1,-1.0
cachoeira,-1,0,1,4,0,2,1.0
cafajeste,0,2,2,0,0,1,2.0
cafetão,-2,-2,-1,0,-2,1,-1.0
capitão,1,-2,0,0,-2,-2,-1.0
carnaval,0,2,1,2,0,1,1.0
carpinteiro,-2,-2,0,-2,-2,-1,0.0
categoria,0,0,0,-2,-2,-1,0.0
celular,-1,-2,-1,0,-2,-2,-1.0
cerveja,-2,2,0,2,0,0,0.0
cesariana,-4,-4,-3,-4,-4,-1,-2.0
cocaína,0,2,1,3,0,0,1.0
comição,0,-2,-1,0,-2,0,-1.0
comissário,1,-2,0,-3,-3,-1,0.0
comunista,-1,-1,0,-2,-2,2,0.0
confusão,3,1,1,2,0,1,1.0
consumação,2,-2,0,-2,-2,2,0.0
cortesia,1,0,-1,0,-2,1,-1.0
cruzeiro,1,0,0,3,0,1,1.0
delegacia,2,0,1,-2,-2,0,0.0
delegada,0,2,-1,-2,-2,3,0.0
delegado,0,0,-1,-2,-2,2,0.0
demônio,0,-2,0,1,-1,0,0.0
depreção,1,0,0,1,-1,0,0.0
deprimido,-1,2,2,0,0,1,1.0
disposição,4,1,1,-1,-1,3,1.0
extraordinário,1,8,3,-1,-1,1,3.0
faculdade,0,4,0,-1,-1,-1,1.0
falsificado,-1,-2,0,1,-1,5,1.0
fissura,-1,-1,-1,1,-1,-1,-1.0
flagrante,2,-1,-1,3,0,-1,0.0
forasteira,-1,2,-1,-3,-3,4,0.0
fortuna,1,1,0,2,0,1,0.0
fotografia,-1,4,0,-1,-1,1,2.0
heterosexual,-3,3,1,-1,-3,2,1.0
homosexual,2,-1,1,-1,-1,2,2.0
infraestrutura,1,0,1,-1,-1,1,3.0
internacional,1,0,2,1,-2,2,2.0
loteria,0,-1,0,2,0,0,1.0
macarrão,4,2,2,3,0,2,2.0
madrugada,-3,-3,-1,-2,-2,-1,-1.0
manequim,-1,0,-1,0,-3,-1,-1.0
maximização,-1,-1,1,1,-1,5,2.0
metaleiro,1,-3,0,-2,-2,1,0.0
milhão,1,0,0,0,0,1,-1.0
mordomia,2,-1,0,1,-1,2,0.0
motocicleta,-2,-1,1,0,-2,0,1.0
mulher,0,-1,0,0,0,-1,-1.0
namorada,-1,3,0,-1,-1,-1,1.0
namorado,-1,-1,0,-1,-1,4,1.0
natureza,-1,2,0,-2,-2,-1,0.0
neurose,-1,-1,1,2,0,2,0.0
palhaso,0,0,1,2,0,3,0.0
parceira,0,2,0,3,0,4,1.0
parceiro,0,3,0,3,0,0,1.0
periferia,0,0,0,-2,-2,0,0.0
pijama,0,0,0,2,0,0,0.0
piração,2,-1,0,2,0,2,1.0
pirigete,1,-1,0,-2,-2,0,0.0
pirralho,0,2,0,3,0,0,1.0
piscina,0,-1,1,3,0,1,1.0
playboy,-3,-2,-1,0,0,-1,-1.0
pornográfico,-1,6,0,2,-1,3,2.0
português,-2,1,-1,0,-3,-2,-2.0
preguiça,-2,1,0,1,-1,2,-1.0
preguiçoso,-2,3,1,-1,-1,-2,0.0
prejuízo,-1,1,1,2,-1,1,0.0
profissional,-1,5,2,-1,-1,0,2.0
proletariado,-2,3,1,0,-2,0,1.0
proletário,-2,3,-1,-2,-2,0,0.0
quebrada,-1,2,-1,2,0,3,0.0
rapaziada,2,0,0,-2,-2,2,0.0
reação,0,-2,-1,0,0,0,-1.0
recalcada,4,2,2,0,0,4,2.0
refrigerante,-2,1,2,1,-1,-1,2.0
responsabilidade,6,8,1,0,-3,1,2.0
sacristão,-1,0,-2,0,-3,1,-2.0
salafrário,-1,-1,-1,-3,-3,-1,0.0
sanduíche,-2,-2,-2,0,-4,-4,-3.0
sapatão,1,-2,-1,0,-2,1,-1.0
sargento,0,0,0,3,0,-1,1.0
satisfação,3,0,0,-3,-3,1,0.0
saudades,-3,-3,-2,0,-2,-1,-1.0
secretária,1,1,0,-2,-2,1,0.0
supermercado,1,3,2,1,-2,2,2.0
telefone,-2,-1,0,-2,-2,-2,0.0
tostão,1,0,-1,0,0,0,-1.0
traficante,-2,-3,-2,-2,-2,-2,0.0
tranquilo,-2,-1,-1,1,-1,-2,-2.0
transação,2,0,1,2,0,2,0.0
travesti,0,2,1,3,0,3,1.0
troglodita,-2,-1,0,-1,-1,-2,0.0
vagabunda,-2,-2,0,-2,-2,4,0.0
ventilador,2,3,-1,-2,-2,2,0.0
vestibular,0,-2,0,-2,-2,0,0.0
violão,1,0,0,0,0,1,-1.0
